window_idx,start_date,end_date,duration_days,start_value,end_value,pnl,pnl_pct,sharpe_ratio,max_drawdown,max_drawdown_len,total_return,annual_return,total_trades,won_trades,lost_trades,win_rate,avg_win,avg_loss
50,2022-09-06 22:00:00,2023-03-06 22:00:00,181,100000.0,103657.68822550005,3657.688225500053,3.6576882255000527,1.7529421944331,6.4609802607348845,78676,,,44,26,18,59.09090909090909,544.9424652884611,-564.1584534722217
51,2022-12-06 22:00:00,2023-06-06 22:00:00,182,100000.0,102388.09078300002,2388.0907830000215,2.3880907830000213,0.08266223409729638,4.24702717683267,79271,,,50,32,18,64.0,299.3458314218749,-399.49865680555604
52,2023-03-06 22:00:00,2023-09-06 22:00:00,184,100000.0,98828.02283100007,-1171.9771689999325,-1.1719771689999325,,5.430736774379716,79532,,,54,33,21,61.111111111111114,234.40576351515165,-408.228352666667
53,2023-06-06 22:00:00,2023-12-06 22:00:00,183,100000.0,92628.30719100004,-7371.6928089999565,-7.371692808999956,,9.258643092438858,168762,,,49,29,20,59.183673469387756,187.24842770689693,-616.7002618749996
54,2023-09-06 22:00:00,2024-03-06 22:00:00,182,100000.0,98178.45840550006,-1821.5415944999404,-1.8215415944999405,-0.5287660625446035,8.803787121316702,163832,,,46,30,16,65.21739130434783,235.95240109999995,-519.3386519062489
55,2023-12-06 22:00:00,2024-06-06 22:00:00,183,100000.0,104388.94624900003,4388.94624900003,4.388946249000029,0.7501007618305472,2.86366428200535,62097,,,45,33,12,73.33333333333333,228.17647530302978,-261.7397863333336
56,2024-03-06 22:00:00,2024-09-06 22:00:00,184,100000.0,97549.25301199994,-2450.746988000057,-2.4507469880000574,,3.914608397354731,96557,,,49,30,19,61.224489795918366,264.26318153333244,-386.52047484210556
57,2024-06-06 22:00:00,2024-12-06 22:00:00,183,100000.0,100594.6386929999,594.6386929998989,0.5946386929998989,,3.920792095955535,166603,,,51,31,20,60.78431372549019,292.11347480645117,-423.0439513000004
58,2024-09-06 22:00:00,2025-03-06 22:00:00,181,100000.0,97840.91044799991,-2159.089552000092,-2.159089552000092,-0.6424097619202103,6.859798564777716,76213,,,48,29,19,60.416666666666664,286.31186424137974,-499.90528110526276
59,2024-12-06 22:00:00,2025-06-06 22:00:00,182,100000.0,84155.29874099993,-15844.701259000067,-15.844701259000066,-1.4197708852390305,18.435803961346668,165670,,,53,24,29,45.28301886792453,267.09976345833303,-767.4170890344832
60,2025-03-06 22:00:00,2025-09-06 22:00:00,184,100000.0,96086.6257760001,-3913.3742239998974,-3.913374223999897,,9.135804538392893,161711,,,47,25,22,53.191489361702125,290.22591824000017,-516.120239681819
61,2025-06-06 22:00:00,2025-12-06 22:00:00,183,100000.0,103710.74957000003,3710.749570000029,3.7107495700000293,,4.361180675976892,32454,,,50,34,16,68.0,283.47813544117673,-377.2895553124999
62,2025-09-06 22:00:00,2025-12-19 21:59:00,103,100000.0,100902.17283500006,902.1728350000631,0.9021728350000631,,4.498514056442646,46254,,,30,19,11,63.33333333333333,277.4297452631579,-427.6537159090904
